ID,Summary_Group,Summary_Type,FormatCode,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Total,BatchNo,AuditDate,Hotel_ID
207,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070109,2021-12-29,1
208,Total Revenue,Other Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070109,2021-12-29,1
209,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070109,2021-12-29,1
210,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070112,2021-12-30,1
211,Key Staticstics,Room Occupied,N,48.00,54.00,72.00,62.00,42.00,34.00,30.00,342.00,20220419-070112,2021-12-30,1
212,Key Staticstics,# of Guest,N,82.00,99.00,127.00,118.00,87.00,65.00,57.00,635.00,20220419-070112,2021-12-30,1
213,Key Staticstics,Room Density,N2,1.71,1.83,1.76,1.90,2.07,1.91,1.90,1.86,20220419-070112,2021-12-30,1
214,Key Staticstics,No of Arrivals,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070112,2021-12-30,1
215,Key Staticstics,No of Departure,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070112,2021-12-30,1
216,Key Staticstics,Occupancy %,P,18.75,21.09,28.13,24.22,16.41,13.28,11.72,19.09,20220419-070112,2021-12-30,1
217,Key Staticstics,Avg Daily Rate,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070112,2021-12-30,1
218,Key Staticstics,RevPAR,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070112,2021-12-30,1
219,Total Revenue,Total Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070112,2021-12-30,1
220,Total Revenue,Total Rev POR,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070112,2021-12-30,1
221,Total Revenue,Avg Spend/Guest,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070112,2021-12-30,1
222,Total Revenue,Breakfast Capture %,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070112,2021-12-30,1
223,Total Revenue,Avg Bkfst Spend/Cover,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20220419-070112,2021-12-30,1
224,Total Revenue,Room Revenue,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070112,2021-12-30,1
225,Total Revenue,F&B Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070112,2021-12-30,1
226,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070112,2021-12-30,1
227,Total Revenue,Other Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070112,2021-12-30,1
228,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070112,2021-12-30,1
229,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070115,2021-12-31,1
230,Key Staticstics,Room Occupied,N,54.00,72.00,62.00,42.00,34.00,30.00,54.00,348.00,20220419-070115,2021-12-31,1
231,Key Staticstics,# of Guest,N,99.00,127.00,118.00,87.00,65.00,57.00,117.00,670.00,20220419-070115,2021-12-31,1
232,Key Staticstics,Room Density,N2,1.83,1.76,1.90,2.07,1.91,1.90,2.17,1.93,20220419-070115,2021-12-31,1
233,Key Staticstics,No of Arrivals,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070115,2021-12-31,1
234,Key Staticstics,No of Departure,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070115,2021-12-31,1
235,Key Staticstics,Occupancy %,P,21.09,28.13,24.22,16.41,13.28,11.72,21.09,19.42,20220419-070115,2021-12-31,1
236,Key Staticstics,Avg Daily Rate,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070115,2021-12-31,1
237,Key Staticstics,RevPAR,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070115,2021-12-31,1
238,Total Revenue,Total Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070115,2021-12-31,1
239,Total Revenue,Total Rev POR,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070115,2021-12-31,1
240,Total Revenue,Avg Spend/Guest,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070115,2021-12-31,1
241,Total Revenue,Breakfast Capture %,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070115,2021-12-31,1
242,Total Revenue,Avg Bkfst Spend/Cover,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20220419-070115,2021-12-31,1
243,Total Revenue,Room Revenue,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070115,2021-12-31,1
244,Total Revenue,F&B Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070115,2021-12-31,1
245,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070115,2021-12-31,1
246,Total Revenue,Other Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070115,2021-12-31,1
247,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070115,2021-12-31,1
248,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070118,2022-01-01,1
249,Key Staticstics,Room Occupied,N,72.00,62.00,42.00,34.00,30.00,54.00,23.00,317.00,20220419-070118,2022-01-01,1
250,Key Staticstics,# of Guest,N,127.00,118.00,87.00,65.00,57.00,117.00,44.00,615.00,20220419-070118,2022-01-01,1
251,Key Staticstics,Room Density,N2,1.76,1.90,2.07,1.91,1.90,2.17,1.91,1.94,20220419-070118,2022-01-01,1
252,Key Staticstics,No of Arrivals,N,NULL,NULL,NULL,NULL,NULL,NULL,10.00,10.00,20220419-070118,2022-01-01,1
253,Key Staticstics,No of Departure,N,NULL,NULL,NULL,NULL,NULL,NULL,41.00,41.00,20220419-070118,2022-01-01,1
254,Key Staticstics,Occupancy %,P,28.13,24.22,16.41,13.28,11.72,21.09,8.98,17.69,20220419-070118,2022-01-01,1
255,Key Staticstics,Avg Daily Rate,C2,NULL,NULL,NULL,NULL,NULL,NULL,287.15,20.83,20220419-070118,2022-01-01,1
256,Key Staticstics,RevPAR,C2,NULL,NULL,NULL,NULL,NULL,NULL,25.80,NULL,20220419-070118,2022-01-01,1
257,Total Revenue,Total Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,7580.04,7580.04,20220419-070118,2022-01-01,1
258,Total Revenue,Total Rev POR,C,NULL,NULL,NULL,NULL,NULL,NULL,29.61,4.23,20220419-070118,2022-01-01,1
259,Total Revenue,Avg Spend/Guest,C2,NULL,NULL,NULL,NULL,NULL,NULL,172.27,12.33,20220419-070118,2022-01-01,1
260,Total Revenue,Breakfast Capture %,P,NULL,NULL,NULL,NULL,NULL,NULL,44.44,NULL,20220419-070118,2022-01-01,1
261,Total Revenue,Avg Bkfst Spend/Cover,C,0.00,0.00,0.00,0.00,0.00,0.00,NULL,0.00,20220419-070118,2022-01-01,1
262,Total Revenue,Room Revenue,C2,NULL,NULL,NULL,NULL,NULL,NULL,6604.39,6604.39,20220419-070118,2022-01-01,1
263,Total Revenue,F&B Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,662.28,662.28,20220419-070118,2022-01-01,1
264,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070118,2022-01-01,1
265,Total Revenue,Other Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,313.37,313.37,20220419-070118,2022-01-01,1
266,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070118,2022-01-01,1
267,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070121,2022-01-02,1
268,Key Staticstics,Room Occupied,N,62.00,42.00,34.00,30.00,54.00,23.00,16.00,261.00,20220419-070121,2022-01-02,1
269,Key Staticstics,# of Guest,N,118.00,87.00,65.00,57.00,117.00,44.00,31.00,519.00,20220419-070121,2022-01-02,1
270,Key Staticstics,Room Density,N2,1.90,2.07,1.91,1.90,2.17,1.91,1.94,1.99,20220419-070121,2022-01-02,1
271,Key Staticstics,No of Arrivals,N,NULL,NULL,NULL,NULL,NULL,10.00,21.00,31.00,20220419-070121,2022-01-02,1
272,Key Staticstics,No of Departure,N,NULL,NULL,NULL,NULL,NULL,41.00,59.00,100.00,20220419-070121,2022-01-02,1
273,Key Staticstics,Occupancy %,P,24.22,16.41,13.28,11.72,21.09,8.98,6.25,14.56,20220419-070121,2022-01-02,1
274,Key Staticstics,Avg Daily Rate,C2,NULL,NULL,NULL,NULL,NULL,287.15,178.67,36.26,20220419-070121,2022-01-02,1
275,Key Staticstics,RevPAR,C2,NULL,NULL,NULL,NULL,NULL,25.80,11.17,NULL,20220419-070121,2022-01-02,1
276,Total Revenue,Total Revenue,C,NULL,NULL,NULL,NULL,NULL,7580.04,3429.57,11009.61,20220419-070121,2022-01-02,1
277,Total Revenue,Total Rev POR,C,NULL,NULL,NULL,NULL,NULL,29.61,13.40,6.14,20220419-070121,2022-01-02,1
278,Total Revenue,Avg Spend/Guest,C2,NULL,NULL,NULL,NULL,NULL,172.27,110.63,21.21,20220419-070121,2022-01-02,1
279,Total Revenue,Breakfast Capture %,P,NULL,NULL,NULL,NULL,NULL,118.18,38.64,NULL,20220419-070121,2022-01-02,1
280,Total Revenue,Avg Bkfst Spend/Cover,C,0.00,0.00,0.00,0.00,0.00,NULL,NULL,0.00,20220419-070121,2022-01-02,1
281,Total Revenue,Room Revenue,C2,NULL,NULL,NULL,NULL,NULL,6604.39,2858.64,9463.03,20220419-070121,2022-01-02,1
282,Total Revenue,F&B Revenue,C,NULL,NULL,NULL,NULL,NULL,662.28,160.45,822.73,20220419-070121,2022-01-02,1
283,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070121,2022-01-02,1
284,Total Revenue,Other Revenue,C,NULL,NULL,NULL,NULL,NULL,313.37,410.48,723.85,20220419-070121,2022-01-02,1
285,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070121,2022-01-02,1
286,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070124,2022-01-03,1
287,Key Staticstics,Room Occupied,N,42.00,34.00,30.00,54.00,23.00,16.00,21.00,220.00,20220419-070124,2022-01-03,1
288,Key Staticstics,# of Guest,N,87.00,65.00,57.00,117.00,44.00,31.00,39.00,440.00,20220419-070124,2022-01-03,1
289,Key Staticstics,Room Density,N2,2.07,1.91,1.90,2.17,1.91,1.94,1.86,2.00,20220419-070124,2022-01-03,1
290,Key Staticstics,No of Arrivals,N,NULL,NULL,NULL,NULL,10.00,21.00,36.00,67.00,20220419-070124,2022-01-03,1
291,Key Staticstics,No of Departure,N,NULL,NULL,NULL,NULL,41.00,59.00,69.00,169.00,20220419-070124,2022-01-03,1
292,Key Staticstics,Occupancy %,P,16.41,13.28,11.72,21.09,8.98,6.25,8.20,12.28,20220419-070124,2022-01-03,1
293,Key Staticstics,Avg Daily Rate,C2,NULL,NULL,NULL,NULL,287.15,178.67,156.78,57.98,20220419-070124,2022-01-03,1
294,Key Staticstics,RevPAR,C2,NULL,NULL,NULL,NULL,25.80,11.17,12.86,NULL,20220419-070124,2022-01-03,1
295,Total Revenue,Total Revenue,C,NULL,NULL,NULL,NULL,7580.04,3429.57,3558.72,14568.33,20220419-070124,2022-01-03,1
296,Total Revenue,Total Rev POR,C,NULL,NULL,NULL,NULL,29.61,13.40,13.90,8.13,20220419-070124,2022-01-03,1
297,Total Revenue,Avg Spend/Guest,C2,NULL,NULL,NULL,NULL,172.27,110.63,91.25,33.11,20220419-070124,2022-01-03,1
298,Total Revenue,Breakfast Capture %,P,NULL,NULL,NULL,NULL,167.74,54.84,0.00,NULL,20220419-070124,2022-01-03,1
299,Total Revenue,Avg Bkfst Spend/Cover,C,0.00,0.00,0.00,0.00,NULL,NULL,0.00,0.00,20220419-070124,2022-01-03,1
300,Total Revenue,Room Revenue,C2,NULL,NULL,NULL,NULL,6604.39,2858.64,3292.36,12755.39,20220419-070124,2022-01-03,1
301,Total Revenue,F&B Revenue,C,NULL,NULL,NULL,NULL,662.28,160.45,15.45,838.18,20220419-070124,2022-01-03,1
302,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070124,2022-01-03,1
303,Total Revenue,Other Revenue,C,NULL,NULL,NULL,NULL,313.37,410.48,250.91,974.76,20220419-070124,2022-01-03,1
304,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070124,2022-01-03,1
305,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070127,2022-01-04,1
306,Key Staticstics,Room Occupied,N,34.00,30.00,54.00,23.00,16.00,21.00,38.00,216.00,20220419-070127,2022-01-04,1
307,Key Staticstics,# of Guest,N,65.00,57.00,117.00,44.00,31.00,39.00,70.00,423.00,20220419-070127,2022-01-04,1
308,Key Staticstics,Room Density,N2,1.91,1.90,2.17,1.91,1.94,1.86,1.84,1.96,20220419-070127,2022-01-04,1
309,Key Staticstics,No of Arrivals,N,NULL,NULL,NULL,10.00,21.00,36.00,59.00,126.00,20220419-070127,2022-01-04,1
310,Key Staticstics,No of Departure,N,NULL,NULL,NULL,41.00,59.00,69.00,75.00,244.00,20220419-070127,2022-01-04,1
311,Key Staticstics,Occupancy %,P,13.28,11.72,21.09,8.98,6.25,8.20,14.84,12.05,20220419-070127,2022-01-04,1
312,Key Staticstics,Avg Daily Rate,C2,NULL,NULL,NULL,287.15,178.67,156.78,202.33,94.65,20220419-070127,2022-01-04,1
313,Key Staticstics,RevPAR,C2,NULL,NULL,NULL,25.80,11.17,12.86,30.03,NULL,20220419-070127,2022-01-04,1
314,Total Revenue,Total Revenue,C,NULL,NULL,NULL,7580.04,3429.57,3558.72,8406.05,22974.38,20220419-070127,2022-01-04,1
315,Total Revenue,Total Rev POR,C,NULL,NULL,NULL,29.61,13.40,13.90,32.84,12.82,20220419-070127,2022-01-04,1
316,Total Revenue,Avg Spend/Guest,C2,NULL,NULL,NULL,172.27,110.63,91.25,120.09,54.31,20220419-070127,2022-01-04,1
317,Total Revenue,Breakfast Capture %,P,NULL,NULL,NULL,133.33,43.59,0.00,2.56,NULL,20220419-070127,2022-01-04,1
318,Total Revenue,Avg Bkfst Spend/Cover,C,0.00,0.00,0.00,NULL,NULL,0.00,NULL,0.00,20220419-070127,2022-01-04,1
319,Total Revenue,Room Revenue,C2,NULL,NULL,NULL,6604.39,2858.64,3292.36,7688.69,20444.08,20220419-070127,2022-01-04,1
320,Total Revenue,F&B Revenue,C,NULL,NULL,NULL,662.28,160.45,15.45,159.82,998.00,20220419-070127,2022-01-04,1
321,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070127,2022-01-04,1
322,Total Revenue,Other Revenue,C,NULL,NULL,NULL,313.37,410.48,250.91,557.54,1532.30,20220419-070127,2022-01-04,1
323,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070127,2022-01-04,1
324,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070130,2022-01-05,1
325,Key Staticstics,Room Occupied,N,30.00,54.00,23.00,16.00,21.00,38.00,37.00,219.00,20220419-070130,2022-01-05,1
326,Key Staticstics,# of Guest,N,57.00,117.00,44.00,31.00,39.00,70.00,69.00,427.00,20220419-070130,2022-01-05,1
327,Key Staticstics,Room Density,N2,1.90,2.17,1.91,1.94,1.86,1.84,1.86,1.95,20220419-070130,2022-01-05,1
328,Key Staticstics,No of Arrivals,N,NULL,NULL,10.00,21.00,36.00,59.00,71.00,197.00,20220419-070130,2022-01-05,1
329,Key Staticstics,No of Departure,N,NULL,NULL,41.00,59.00,69.00,75.00,88.00,332.00,20220419-070130,2022-01-05,1
330,Key Staticstics,Occupancy %,P,11.72,21.09,8.98,6.25,8.20,14.84,14.45,12.22,20220419-070130,2022-01-05,1
331,Key Staticstics,Avg Daily Rate,C2,NULL,NULL,287.15,178.67,156.78,202.33,175.53,123.01,20220419-070130,2022-01-05,1
332,Key Staticstics,RevPAR,C2,NULL,NULL,25.80,11.17,12.86,30.03,25.37,NULL,20220419-070130,2022-01-05,1
333,Total Revenue,Total Revenue,C,NULL,NULL,7580.04,3429.57,3558.72,8406.05,7288.02,30262.40,20220419-070130,2022-01-05,1
334,Total Revenue,Total Rev POR,C,NULL,NULL,29.61,13.40,13.90,32.84,28.47,16.89,20220419-070130,2022-01-05,1
335,Total Revenue,Avg Spend/Guest,C2,NULL,NULL,172.27,110.63,91.25,120.09,105.62,70.87,20220419-070130,2022-01-05,1
336,Total Revenue,Breakfast Capture %,P,NULL,NULL,74.29,24.29,0.00,1.43,1.43,NULL,20220419-070130,2022-01-05,1
337,Total Revenue,Avg Bkfst Spend/Cover,C,0.00,0.00,NULL,NULL,0.00,NULL,NULL,0.00,20220419-070130,2022-01-05,1
338,Total Revenue,Room Revenue,C2,NULL,NULL,6604.39,2858.64,3292.36,7688.69,6494.73,26938.81,20220419-070130,2022-01-05,1
339,Total Revenue,F&B Revenue,C,NULL,NULL,662.28,160.45,15.45,159.82,157.82,1155.82,20220419-070130,2022-01-05,1
340,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070130,2022-01-05,1
341,Total Revenue,Other Revenue,C,NULL,NULL,313.37,410.48,250.91,557.54,635.47,2167.77,20220419-070130,2022-01-05,1
342,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070130,2022-01-05,1
343,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070135,2022-01-06,1
344,Key Staticstics,Room Occupied,N,54.00,23.00,16.00,21.00,38.00,37.00,50.00,239.00,20220419-070135,2022-01-06,1
345,Key Staticstics,# of Guest,N,117.00,44.00,31.00,39.00,70.00,69.00,97.00,467.00,20220419-070135,2022-01-06,1
346,Key Staticstics,Room Density,N2,2.17,1.91,1.94,1.86,1.84,1.86,1.94,1.95,20220419-070135,2022-01-06,1
347,Key Staticstics,No of Arrivals,N,NULL,10.00,21.00,36.00,59.00,71.00,105.00,302.00,20220419-070135,2022-01-06,1
348,Key Staticstics,No of Departure,N,NULL,41.00,59.00,69.00,75.00,88.00,109.00,441.00,20220419-070135,2022-01-06,1
349,Key Staticstics,Occupancy %,P,21.09,8.98,6.25,8.20,14.84,14.45,19.53,13.33,20220419-070135,2022-01-06,1
350,Key Staticstics,Avg Daily Rate,C2,NULL,287.15,178.67,156.78,202.33,175.53,173.83,149.08,20220419-070135,2022-01-06,1
351,Key Staticstics,RevPAR,C2,NULL,25.80,11.17,12.86,30.03,25.37,33.95,NULL,20220419-070135,2022-01-06,1
352,Total Revenue,Total Revenue,C,NULL,7580.04,3429.57,3558.72,8406.05,7288.02,17456.46,47718.86,20220419-070135,2022-01-06,1
353,Total Revenue,Total Rev POR,C,NULL,29.61,13.40,13.90,32.84,28.47,68.19,26.63,20220419-070135,2022-01-06,1
354,Total Revenue,Avg Spend/Guest,C2,NULL,172.27,110.63,91.25,120.09,105.62,179.96,102.18,20220419-070135,2022-01-06,1
355,Total Revenue,Breakfast Capture %,P,NULL,44.44,24.64,0.00,1.45,1.45,1.45,NULL,20220419-070135,2022-01-06,1
356,Total Revenue,Avg Bkfst Spend/Cover,C,0.00,NULL,NULL,0.00,NULL,NULL,NULL,0.00,20220419-070135,2022-01-06,1
357,Total Revenue,Room Revenue,C2,NULL,6604.39,2858.64,3292.36,7688.69,6494.73,8691.39,35630.20,20220419-070135,2022-01-06,1
358,Total Revenue,F&B Revenue,C,NULL,662.28,160.45,15.45,159.82,157.82,219.72,1375.54,20220419-070135,2022-01-06,1
359,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070135,2022-01-06,1
360,Total Revenue,Other Revenue,C,NULL,313.37,410.48,250.91,557.54,635.47,8545.35,10713.12,20220419-070135,2022-01-06,1
361,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070135,2022-01-06,1
362,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070138,2022-01-07,1
363,Key Staticstics,Room Occupied,N,23.00,16.00,21.00,38.00,37.00,50.00,73.00,258.00,20220419-070138,2022-01-07,1
364,Key Staticstics,# of Guest,N,44.00,31.00,39.00,70.00,69.00,97.00,149.00,499.00,20220419-070138,2022-01-07,1
365,Key Staticstics,Room Density,N2,1.91,1.94,1.86,1.84,1.86,1.94,2.04,1.93,20220419-070138,2022-01-07,1
366,Key Staticstics,No of Arrivals,N,10.00,21.00,36.00,59.00,71.00,105.00,148.00,450.00,20220419-070138,2022-01-07,1
367,Key Staticstics,No of Departure,N,41.00,59.00,69.00,75.00,88.00,109.00,129.00,570.00,20220419-070138,2022-01-07,1
368,Key Staticstics,Occupancy %,P,8.98,6.25,8.20,14.84,14.45,19.53,28.52,14.40,20220419-070138,2022-01-07,1
369,Key Staticstics,Avg Daily Rate,C2,287.15,178.67,156.78,202.33,175.53,173.83,184.16,190.21,20220419-070138,2022-01-07,1
370,Key Staticstics,RevPAR,C2,25.80,11.17,12.86,30.03,25.37,33.95,52.51,27.38,20220419-070138,2022-01-07,1
371,Total Revenue,Total Revenue,C,7580.04,3429.57,3558.72,8406.05,7288.02,17456.46,15724.73,63443.59,20220419-070138,2022-01-07,1
372,Total Revenue,Total Rev POR,C,29.61,13.40,13.90,32.84,28.47,68.19,61.42,35.40,20220419-070138,2022-01-07,1
373,Total Revenue,Avg Spend/Guest,C2,172.27,110.63,91.25,120.09,105.62,179.96,105.54,127.14,20220419-070138,2022-01-07,1
374,Total Revenue,Breakfast Capture %,P,44.44,38.64,0.00,1.03,1.03,1.03,12.37,14.08,20220419-070138,2022-01-07,1
375,Total Revenue,Avg Bkfst Spend/Cover,C,NULL,NULL,0.00,NULL,NULL,NULL,NULL,0.00,20220419-070138,2022-01-07,1
376,Total Revenue,Room Revenue,C2,6604.39,2858.64,3292.36,7688.69,6494.73,8691.39,13443.66,49073.86,20220419-070138,2022-01-07,1
377,Total Revenue,F&B Revenue,C,662.28,160.45,15.45,159.82,157.82,219.72,1259.36,2634.90,20220419-070138,2022-01-07,1
378,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070138,2022-01-07,1
379,Total Revenue,Other Revenue,C,313.37,410.48,250.91,557.54,635.47,8545.35,1021.71,11734.83,20220419-070138,2022-01-07,1
380,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070138,2022-01-07,1
381,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070141,2022-01-08,1
382,Key Staticstics,Room Occupied,N,16.00,21.00,38.00,37.00,50.00,73.00,69.00,304.00,20220419-070141,2022-01-08,1
383,Key Staticstics,# of Guest,N,31.00,39.00,70.00,69.00,97.00,149.00,137.00,592.00,20220419-070141,2022-01-08,1
384,Key Staticstics,Room Density,N2,1.94,1.86,1.84,1.86,1.94,2.04,1.99,1.95,20220419-070141,2022-01-08,1
385,Key Staticstics,No of Arrivals,N,21.00,36.00,59.00,71.00,105.00,148.00,179.00,619.00,20220419-070141,2022-01-08,1
386,Key Staticstics,No of Departure,N,59.00,69.00,75.00,88.00,109.00,129.00,164.00,693.00,20220419-070141,2022-01-08,1
387,Key Staticstics,Occupancy %,P,6.25,8.20,14.84,14.45,19.53,28.52,26.95,16.96,20220419-070141,2022-01-08,1
388,Key Staticstics,Avg Daily Rate,C2,178.67,156.78,202.33,175.53,173.83,184.16,212.09,187.84,20220419-070141,2022-01-08,1
389,Key Staticstics,RevPAR,C2,11.17,12.86,30.03,25.37,33.95,52.51,57.16,31.86,20220419-070141,2022-01-08,1
390,Total Revenue,Total Revenue,C,3429.57,3558.72,8406.05,7288.02,17456.46,15724.73,17394.70,73258.25,20220419-070141,2022-01-08,1
391,Total Revenue,Total Rev POR,C,13.40,13.90,32.84,28.47,68.19,61.42,67.95,40.88,20220419-070141,2022-01-08,1
392,Total Revenue,Avg Spend/Guest,C2,110.63,91.25,120.09,105.62,179.96,105.54,126.97,123.75,20220419-070141,2022-01-08,1
393,Total Revenue,Breakfast Capture %,P,38.64,0.00,0.67,0.67,0.67,8.05,29.53,11.18,20220419-070141,2022-01-08,1
394,Total Revenue,Avg Bkfst Spend/Cover,C,NULL,0.00,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070141,2022-01-08,1
395,Total Revenue,Room Revenue,C2,2858.64,3292.36,7688.69,6494.73,8691.39,13443.66,14633.87,57103.34,20220419-070141,2022-01-08,1
396,Total Revenue,F&B Revenue,C,160.45,15.45,159.82,157.82,219.72,1259.36,1407.54,3380.16,20220419-070141,2022-01-08,1
397,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070141,2022-01-08,1
398,Total Revenue,Other Revenue,C,410.48,250.91,557.54,635.47,8545.35,1021.71,1353.29,12774.75,20220419-070141,2022-01-08,1
399,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070141,2022-01-08,1
400,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070144,2022-01-09,1
401,Key Staticstics,Room Occupied,N,21.00,38.00,37.00,50.00,73.00,69.00,30.00,318.00,20220419-070144,2022-01-09,1
402,Key Staticstics,# of Guest,N,39.00,70.00,69.00,97.00,149.00,137.00,51.00,612.00,20220419-070144,2022-01-09,1
403,Key Staticstics,Room Density,N2,1.86,1.84,1.86,1.94,2.04,1.99,1.70,1.92,20220419-070144,2022-01-09,1
404,Key Staticstics,No of Arrivals,N,36.00,59.00,71.00,105.00,148.00,179.00,195.00,793.00,20220419-070144,2022-01-09,1
405,Key Staticstics,No of Departure,N,69.00,75.00,88.00,109.00,129.00,164.00,219.00,853.00,20220419-070144,2022-01-09,1
406,Key Staticstics,Occupancy %,P,8.20,14.84,14.45,19.53,28.52,26.95,11.72,17.74,20220419-070144,2022-01-09,1
407,Key Staticstics,Avg Daily Rate,C2,156.78,202.33,175.53,173.83,184.16,212.09,128.79,182.73,20220419-070144,2022-01-09,1
408,Key Staticstics,RevPAR,C2,12.86,30.03,25.37,33.95,52.51,57.16,15.09,32.42,20220419-070144,2022-01-09,1
409,Total Revenue,Total Revenue,C,3558.72,8406.05,7288.02,17456.46,15724.73,17394.70,4791.36,74620.04,20220419-070144,2022-01-09,1
410,Total Revenue,Total Rev POR,C,13.90,32.84,28.47,68.19,61.42,67.95,18.72,41.64,20220419-070144,2022-01-09,1
